Login Timestamp,User ID,IP Address,Country,Region,City,Browser Name and Version,Device Type,Login Successful
43.55.09,-3.28E+18,81.167.144.58,NO,Vestland,Urangsvag,Android 2.3.3.2672,mobile,TRUE
43.56.02,-4.32E+18,170.39.78.152,US,NULL,NULL,Chrome Mobile WebView 85.0.4183,mobile,FALSE
43.59.04,-4.62E+18,10.0.0.47,US,Virginia,Ashburn,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44.05.02,-4.32E+18,209.236.123.126,US,NULL,NULL,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44.07.09,7.25E+18,80.202.228.214,NO,NULL,NULL,Chrome 69.0.3497.17.19,desktop,TRUE
44.12.08,-3.24E+18,170.39.78.177,US,NULL,NULL,Chrome Mobile 81.0.4044.1931,mobile,FALSE
44.17.05,8.08E+18,10.0.61.212,NO,NULL,NULL,MiuiBrowser 12.6.5,mobile,FALSE
44.30.05,-8.30E+18,82.147.58.93,NO,Oslo County,Oslo,Android 2.3.3.2672,mobile,TRUE
44.31.09,-4.66E+18,81.166.109.168,NO,Rogaland,Haugesund,Chrome 86.0.4202,desktop,TRUE
44.33.00,-4.32E+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44.33.01,-4.32E+18,46.183.175.255,NO,NULL,NULL,Chrome 72.0.3626,desktop,FALSE
44.44.05,-4.32E+18,79.161.39.219,NO,Viken,Solbergelva,Chrome 90.0.4411,desktop,FALSE
44.45.05,-6.90E+18,176.107.153.76,PL,Mazovia,Warsaw,Chrome 79.0.3945.192.207,mobile,TRUE
44.45.09,1.81E+18,80.203.221.4,NO,Viken,Hokksund,Android 2.3.3.2672,mobile,TRUE
44.46.00,2.05E+18,152.93.187.81,NO,NULL,NULL,Chrome 79.0.3945.192.207,desktop,TRUE
44.46.08,-4.32E+18,156.52.54.27,NO,Viken,Gressvik,Chrome 85.0.4163,desktop,FALSE
44.47.07,-6.93E+18,79.161.194.240,NO,Vestland,Sagvag,Chrome 72.0.3626.56,desktop,TRUE
44.49.00,-4.32E+18,10.0.80.237,PL,Mazovia,Zielonka,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44.49.08,2.70E+18,141.0.88.74,NO,Rogaland,Sandnes,Android 2.3.3.2672,mobile,TRUE
44.50.07,-5.38E+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,TRUE
44.51.09,3.97E+18,84.209.221.148,NO,Viken,Finstadjordet,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44.55.05,-5.33E+18,10.0.108.181,NO,Vestland,Frekhaug,Opera 65.0.3467,desktop,TRUE
44.56.08,8.84E+18,92.220.43.111,NO,Vestland,Bergen,Chrome 69.0.3497.17.19,desktop,TRUE
44.56.08,7.47E+18,158.149.143.223,NO,NULL,NULL,Chrome 69.0.3497.17.19,desktop,TRUE
44.57.03,-7.00E+18,81.167.44.40,NO,Oslo County,Oslo,Firefox 20.0.0.1618,mobile,TRUE
44.58.04,1.46E+18,10.0.77.213,NO,Oslo County,Oslo,Chrome 71.0.3578.36,desktop,TRUE
45.00.02,-2.12E+18,156.52.61.165,NO,Viken,Gressvik,Android 2.0.0.2442,mobile,TRUE
45.04.05,4.54E+18,10.0.66.212,NO,Vestfold og Telemark,Ulefoss,Chrome 69.0.3497.17.19,desktop,TRUE
45.04.06,-4.32E+18,23.137.225.84,US,NULL,NULL,Chrome Mobile 80.0.3987,mobile,FALSE
45.05.03,-4.32E+18,10.0.105.195,IN,NULL,NULL,Firefox 20.0.0.1618,mobile,FALSE
45.06.06,-4.32E+18,199.26.84.153,US,NULL,NULL,Firefox 20.0.0.1670,mobile,FALSE
45.07.02,-1.86E+18,158.248.221.20,NO,NULL,NULL,Chrome 69.0.3497.17.19,desktop,TRUE
45.09.06,-4.32E+18,82.147.51.1,NO,Innlandet,Nord-Fron,Opera Mobile 52.1.2254,mobile,FALSE
45.10.06,-4.32E+18,158.149.66.181,NO,NULL,NULL,Android 2.3.6,mobile,FALSE
45.11.06,5.02E+18,84.234.159.249,NO,Oslo County,Oslo,Android 2.3.3.2672,tablet,FALSE
45.13.07,-3.52E+18,209.236.117.198,US,NULL,NULL,Chrome Mobile 84.0.4147,mobile,TRUE
45.14.01,-4.32E+18,10.0.74.27,NO,Innlandet,Grinder,Chrome Mobile WebView 85.0.4183,mobile,FALSE
45.14.02,-3.46E+18,79.161.131.106,NO,Vestfold og Telemark,Kragero,Chrome 69.0.3497.17.19,desktop,TRUE
45.14.03,-4.32E+18,80.203.223.105,NO,Viken,Hokksund,Chrome 86.0.4240.378.379,desktop,FALSE
45.14.03,-4.32E+18,23.137.225.255,US,NULL,NULL,Chrome Mobile 80.0.3987,mobile,FALSE
45.14.06,-4.32E+18,79.161.201.19,NO,Viken,Krakeroy,Android 2.3.6,tablet,FALSE
45.14.08,-4.32E+18,46.250.196.206,NO,Rogaland,Haugesund,Chrome 69.0.3497.17.19,desktop,FALSE
45.14.08,6.27E+18,156.52.83.9,BR,NULL,NULL,Opera Mobile 52.1.2254.2413,mobile,TRUE
45.16.05,-6.62E+18,170.82.7.240,BR,Sao Paulo,Artur Nogueira,Chrome 69.0.3497.17.19,desktop,FALSE
45.17.05,-4.32E+18,78.91.32.1,NO,NULL,NULL,Chrome 69.0.3497.17.19,desktop,FALSE
45.19.00,6.01E+18,78.91.110.17,NO,Trøndelag,Trondheim,Chrome 72.0.3626.67,desktop,TRUE
45.19.08,-4.32E+18,65.111.191.14,US,Florida,Miami,Chrome Mobile WebView 85.0.4183,mobile,FALSE
45.20.01,-4.32E+18,158.149.101.124,NO,Innlandet,Folldal,Chrome 90.0.4411,desktop,FALSE
45.20.02,7.77E+18,84.234.164.239,NO,Rogaland,Stavanger,Chrome 69.0.3497.17.19,desktop,TRUE
45.20.05,-5.12E+18,109.247.231.192,NO,Vestfold og Telemark,Langangen,Android 2.3.3.2672,mobile,TRUE
45.20.08,-4.32E+18,23.137.225.255,US,NULL,NULL,Chrome Mobile 80.0.3987,mobile,FALSE
45.21.04,-6.46E+17,10.0.116.246,NO,NULL,NULL,Chrome 90.0.4411,desktop,TRUE
45.22.04,-4.04E+18,152.93.111.140,NO,Rogaland,Sandnes,Chrome 69.0.3497.17.19,desktop,TRUE
