Login Timestamp,User ID,IP Address,Country,Region,City,Browser Name and Version,Device Type,Login Successful
57:13.0,-4.32E+18,103.69.112.82,IN,Maharashtra,Thane,Chrome Mobile 81.0.4044.1949,mobile,FALSE
57:13.6,-3.98E+18,89.162.59.40,NO,Nordland,Mo i Rana,Android 2.3.3.2672,mobile,TRUE
57:13.6,-8.90E+18,66.68.10.18,US,Texas,Cedar Park,MiuiBrowser 12.6.5,mobile,TRUE
57:14.1,-4.32E+18,209.236.117.166,US,-,-,Snapchat 11.8.1,mobile,FALSE
57:14.4,-1.34E+18,116.206.164.123,PK,Punjab,Lahore,Chrome Mobile WebView 85.0.4183,mobile,TRUE
57:14.9,-4.32E+18,103.77.10.152,PK,Punjab,Lahore,Chrome Mobile WebView 85.0.4183,mobile,FALSE
57:17.0,-1.78E+18,92.220.174.255,NO,-,Røyken Municipality,Chrome 72.0.3626.56,desktop,TRUE
57:17.6,-5.70E+18,139.164.120.51,NO,-,-,Chrome Mobile 78.0.3904,mobile,TRUE
57:18.4,-4.32E+18,10.0.68.244,NO,Innlandet,Raufoss,Firefox 20.0.0.1618,mobile,FALSE
57:19.1,-1.71E+18,103.198.70.23,MY,-,-,Firefox 20.0.0.1727,mobile,TRUE
57:19.7,-4.32E+18,10.0.68.244,NO,Innlandet,Raufoss,Firefox 20.0.0.1618,mobile,FALSE
57:20.1,-4.32E+18,10.0.69.71,NO,Oslo County,Oslo,Chrome Mobile WebView 85.0.4183,mobile,FALSE
57:21.1,-5.27E+18,66.248.237.189,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,TRUE
57:21.6,3.65E+18,5.100.179.37,NO,-,-,Chrome Mobile WebView 85.0.4183,mobile,TRUE
57:21.9,-4.32E+18,185.152.32.139,NO,-,-,Chrome 90.0.4411,desktop,FALSE
57:22.1,-3.85E+18,10.2.146.231,DE,Bavaria,Munich,Firefox 20.0.0.1618,mobile,TRUE
57:23.5,-4.32E+18,170.39.79.8,US,-,-,Firefox 20.0.0.1618,mobile,FALSE
57:24.7,-3.56E+17,10.2.183.74,FR,North,Roubaix,Chrome Mobile 81.0.4044.1946,mobile,TRUE
57:25.7,-4.32E+18,80.211.253.163,PL,Mazovia,Warsaw,Chrome Mobile 81.0.4044.1943,mobile,FALSE
57:25.9,7.70E+18,84.208.219.12,NO,Rogaland,Stavanger,Android 2.3.3.2672,tablet,TRUE
57:26.7,5.85E+18,95.169.60.0,NO,Innlandet,Lillehammer,Chrome 90.0.4411,desktop,TRUE
57:27.3,-4.32E+18,43.247.16.140,PH,-,-,Firefox 20.0.0.1673,mobile,FALSE
57:29.9,-5.06E+18,46.212.242.95,NO,Viken,Skjetten,Chrome 86.0.4202,desktop,FALSE
57:30.6,-7.35E+18,170.39.78.7,US,-,-,Chrome Mobile WebView 81.0.4044,mobile,TRUE
57:31.1,-7.66E+18,176.107.132.13,PL,Mazovia,Warsaw,Firefox 20.0.0.1618,mobile,FALSE
57:34.0,1.99E+18,185.19.118.97,PL,Lódz Voivodeship,Reczno,Chrome Mobile 81.0.4044.1943,mobile,TRUE
57:34.4,4.36E+18,185.161.200.171,DE,-,-,Chrome Mobile WebView 85.0.4183,mobile,TRUE
57:34.5,8.12E+18,187.62.54.140,BR,Parana,Londrina,Chrome 79.0.3945.192.203,desktop,TRUE
57:34.8,-4.32E+18,10.0.70.37,NO,Oslo County,Oslo,Chrome 69.0.3497.17.19,desktop,FALSE
57:35.2,2.21E+18,170.39.76.234,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,TRUE
57:36.0,-1.34E+18,116.206.164.123,PK,Punjab,Lahore,Chrome Mobile WebView 85.0.4183,mobile,TRUE
57:37.8,5.45E+18,80.202.117.183,NO,Vestland,Bergen,Chrome 72.0.3626.56,desktop,TRUE
57:39.0,-4.30E+17,193.239.255.23,UA,-,-,Opera Mini 19.0.2254,mobile,FALSE
57:39.1,-5.23E+18,152.93.26.152,NO,Rogaland,Sandnes,Chrome 69.0.3497.17.19,desktop,TRUE
57:39.4,6.80E+18,80.211.254.146,PL,Mazovia,Warsaw,Chrome Mobile 81.0.4044.1950,mobile,TRUE
57:40.4,3.84E+18,77.106.151.219,NO,Innlandet,Ottestad,Chrome 79.0.3945.192.206,desktop,TRUE
57:40.8,-4.32E+18,51.175.207.172,BR,-,-,Firefox 20.0.0.1618,mobile,FALSE
57:41.0,-1.71E+18,103.198.70.23,MY,-,-,Firefox 20.0.0.1727,mobile,TRUE
