Login Timestamp,User ID,IP Address,Country,Region,City,Browser Name and Version,Device Type,Login Successful,Anomaly in IP Address,Anomaly in Country,Anomaly in Region,Anomaly in City,Anomaly in Browser Name and Version,Anomaly in Device Type
43:30.8,-4.32448e+18,10.0.65.171,NO,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
43:56.2,-4.32448e+18,170.39.78.152,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
44:05.2,-4.32448e+18,209.236.123.126,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
44:12.8,-3.24398e+18,170.39.78.177,US,-,-,Chrome Mobile 81.0.4044.1931,mobile,False,1,1,1,1,1,1
44:17.5,8.076e+18,10.0.61.212,NO,-,-,MiuiBrowser 12.6.5,mobile,False,1,1,1,1,1,1
44:25.8,5.72968e+18,170.39.79.164,US,-,-,Chrome Mobile 80.0.3987,mobile,False,1,1,1,1,1,1
44:29.2,-4.32448e+18,10.0.67.86,NO,Troms og Finnmark,Bjornevatn,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
44:33.0,-4.32448e+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
44:33.1,-4.32448e+18,46.183.175.255,NO,-,-,Chrome 72.0.3626,desktop,False,1,1,1,1,1,1
44:40.2,9.13347e+18,38.135.39.102,US,-,-,Chrome Mobile 51.0.2704,mobile,False,1,1,1,1,1,1
44:40.4,-4.32448e+18,92.220.92.118,BR,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
44:40.5,-4.32448e+18,23.137.225.84,US,-,-,Chrome Mobile 80.0.3987,mobile,False,1,1,1,1,1,1
44:42.0,-4.32448e+18,199.26.84.48,US,-,-,Chrome Mobile 81.0.4044.1943,mobile,False,1,1,1,1,1,1
44:44.5,-4.32448e+18,79.161.39.219,NO,Viken,Solbergelva,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
44:45.5,-6.90264e+18,176.107.153.76,PL,Mazovia,Warsaw,Chrome Mobile WebView 85.0.4183,mobile,True,-1,1,1,1,1,1
44:46.0,2.05367e+18,152.93.187.81,NO,-,-,Chrome 79.0.3945.192.207,desktop,True,1,1,1,1,-1,1
44:46.8,-4.32448e+18,156.52.54.27,NO,Viken,Gressvik,Chrome 85.0.4163,desktop,False,1,1,1,1,1,1
44:51.9,3.97472e+18,84.209.221.148,NO,Viken,Finstadjordet,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:04.6,-4.32448e+18,23.137.225.84,US,-,-,Chrome Mobile 80.0.3987,mobile,False,1,1,1,1,1,1
45:05.3,-4.32448e+18,10.0.105.195,IN,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
45:10.6,-4.32448e+18,158.149.66.181,NO,-,-,Android 2.3.6,mobile,False,1,1,1,1,1,1
45:11.6,5.02454e+18,84.234.159.249,NO,Oslo County,Oslo,Android 2.3.3.2672,tablet,False,1,1,1,1,1,1
45:14.1,-4.32448e+18,10.0.74.27,NO,Innlandet,Grinder,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:14.3,-4.32448e+18,80.203.223.105,NO,Viken,Hokksund,Chrome 86.0.4240.378.379,desktop,False,1,1,1,1,1,1
45:14.3,-4.32448e+18,23.137.225.255,US,-,-,Chrome Mobile 80.0.3987,mobile,False,1,1,1,1,1,1
45:14.6,-4.32448e+18,79.161.201.19,NO,Viken,Krakeroy,Android 2.3.6,tablet,False,1,1,1,1,1,1
45:14.8,-4.32448e+18,46.250.196.206,NO,Rogaland,Haugesund,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
45:19.0,6.01297e+18,78.91.110.17,NO,Trøndelag,Trondheim,Chrome 72.0.3626.67,desktop,True,-1,1,1,1,1,1
45:19.8,-4.32448e+18,65.111.191.14,US,Florida,Miami,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:20.1,-4.32448e+18,158.149.101.124,NO,Innlandet,Folldal,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
