Login Timestamp,User ID,IP Address,Country,Region,City,Browser Name and Version,Device Type,Login Successful
43:30.8,-4.32448E+18,10.0.65.171,NO,-,-,Firefox 20.0.0.1618,mobile,FALSE
43:43.5,-4.32448E+18,194.87.207.6,AU,-,-,Chrome Mobile 46.0.2490,mobile,FALSE
43:55.9,-3.28414E+18,81.167.144.58,NO,Vestland,Urangsvag,Android 2.3.3.2672,mobile,TRUE
43:56.2,-4.32448E+18,170.39.78.152,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,FALSE
43:59.4,-4.61885E+18,10.0.0.47,US,Virginia,Ashburn,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44:05.2,-4.32448E+18,209.236.123.126,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44:07.9,7.24653E+18,80.202.228.214,NO,-,-,Chrome 69.0.3497.17.19,desktop,TRUE
44:12.8,-3.24398E+18,170.39.78.177,US,-,-,Chrome Mobile 81.0.4044.1931,mobile,FALSE
44:17.5,8.076E+18,10.0.61.212,NO,-,-,MiuiBrowser 12.6.5,mobile,FALSE
44:19.1,-3.06594E+18,92.221.109.162,NO,Rogaland,Sandnes,Chrome 69.0.3497.17.28,desktop,TRUE
44:19.3,5.9325E+18,84.48.61.135,NO,-,-,Chrome 86.0.4202,desktop,TRUE
44:24.8,-9.08083E+18,156.52.48.83,NO,Viken,Gressvik,Chrome 79.0.3945.192.203,desktop,TRUE
44:25.8,5.72968E+18,170.39.79.164,US,-,-,Chrome Mobile 80.0.3987,mobile,FALSE
44:26.8,-4.32448E+18,46.212.51.170,NO,Viken,Klofta,Chrome 86.0.4240.378,desktop,FALSE
44:29.2,-4.32448E+18,10.0.67.86,NO,Troms og Finnmark,Bjornevatn,Android 2.3.3.2672,mobile,FALSE
44:30.5,-8.29667E+18,82.147.58.93,NO,Oslo County,Oslo,Android 2.3.3.2672,mobile,TRUE
44:31.9,-4.66394E+18,81.166.109.168,NO,Rogaland,Haugesund,Chrome 86.0.4202,desktop,TRUE
44:33.0,-4.32448E+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,FALSE
44:33.1,-4.32448E+18,46.183.175.255,NO,-,-,Chrome 72.0.3626,desktop,FALSE
44:33.2,1.2113E+18,10.0.77.207,NO,Oslo County,Oslo,Chrome 69.0.3497.17.19,desktop,TRUE
44:36.5,6.38664E+18,109.247.53.244,NO,Agder,Byglandsfjord,Android 2.3.3.2672,mobile,TRUE
44:39.6,-6.82421E+18,81.166.116.24,NO,Rogaland,Stavanger,Chrome 90.0.4411,desktop,TRUE
44:40.2,9.13347E+18,38.135.39.102,US,-,-,Chrome Mobile 51.0.2704,mobile,FALSE
44:40.4,-4.32448E+18,92.220.92.118,BR,-,-,Android 2.3.3.2672,mobile,FALSE
44:40.5,-4.32448E+18,23.137.225.84,US,-,-,Chrome Mobile 80.0.3987,mobile,FALSE
44:41.7,7.03225E+18,89.162.71.53,NO,Nordland,Mo i Rana,Android 2.3.3.2672,mobile,TRUE
44:42.0,-4.32448E+18,199.26.84.48,US,-,-,Chrome Mobile 81.0.4044.1943,mobile,FALSE
44:43.7,8.93372E+18,10.0.113.42,NO,Oslo County,Oslo,Chrome 69.0.3497.17.19,desktop,TRUE
44:44.5,-4.32448E+18,79.161.39.219,NO,Viken,Solbergelva,Chrome 90.0.4411,desktop,FALSE
44:45.5,-6.90264E+18,176.107.153.76,PL,Mazovia,Warsaw,Chrome Mobile WebView 85.0.4183,mobile,TRUE
44:45.9,1.80813E+18,80.203.221.4,NO,Viken,Hokksund,Android 2.3.3.2672,mobile,TRUE
44:46.0,2.05367E+18,152.93.187.81,NO,-,-,Chrome 79.0.3945.192.207,desktop,TRUE
