Login Timestamp,User ID,IP Address,Country,Region,City,Browser Name and Version,Device Type,Login Successful,Anomaly in IP Address,Anomaly in Country,Anomaly in Region,Anomaly in City,Anomaly in Browser Name and Version,Anomaly in Device Type
43:43.5,-4.32e+18,0.0.0.0,US,-,-,Chrome Mobile 46.0.2490,Nuclear Lab,True,-1,1,1,1,1,-1
44:46.0,2.05e+18,152.93.187.81,NO,-,-,Chrome 79.0.3945.192.207,desktop,True,1,1,1,1,-1,1
44:50.7,-5.38e+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,True,-1,1,1,1,1,1
44:58.4,1.46e+18,10.0.77.213,NO,Oslo County,Oslo,Chrome 71.0.3578.36,desktop,True,1,1,1,1,-1,1
45:14.8,6.27e+18,156.52.83.9,BR,-,-,Opera Mobile 52.1.2254.2413,mobile,True,1,1,1,1,-1,1
45:19.0,6.01e+18,78.91.110.17,NO,Trøndelag,Trondheim,Chrome 72.0.3626.67,desktop,True,-1,1,1,1,1,1
45:24.2,8.44e+18,10.0.160.77,NO,Viken,Sem,Chrome 86.0.4202,desktop,True,1,1,1,-1,1,1
45:53.3,6.31e+18,92.221.250.22,NO,Viken,Sandvika,Chrome 79.0.3945.192.218,desktop,True,1,1,1,-1,1,1
46:08.6,-8.76e+18,10.0.183.40,MD,Telenesti,Cazanesti,Chrome Mobile WebView 85.0.4183,mobile,True,1,-1,-1,1,1,1
46:37.0,-5.95e+18,10.0.160.77,NO,Viken,Sem,Chrome 69.0.3497.17.19,desktop,True,1,1,1,-1,1,1
46:48.3,-2.59e+18,170.0.93.65,AR,Entre Rios,Gualeguaychú,Android 2.3.3.2672,mobile,True,-1,-1,1,1,1,1
46:55.5,9.19e+18,10.0.183.79,RO,Arges,Curtea de Arges,Chrome 69.0.3497.17.19,desktop,True,1,-1,1,1,1,1
47:03.1,1.85e+18,23.137.225.177,US,-,-,Android 2.2.2.2634,mobile,True,1,1,1,1,-1,1
47:11.0,-8.74e+18,193.26.147.135,CA,-,-,Chrome Mobile 81.0.4044.1950,mobile,True,1,-1,1,1,1,1
47:12.1,3.16e+18,10.0.190.120,FR,North,Roubaix,Chrome 69.0.3497.17.19,desktop,True,1,1,-1,1,1,1
